Random ID,Term,Course Abbrevation,Course Number,course,level
308547,Fall 2021,BIOL,1009,BIOL 1009,1000
308547,Fall 2021,BIOL,1009,BIOL 1009,1000
308547,Fall 2021,ENGL,1109,ENGL 1109,1000
308547,Fall 2021,SOC,1008,SOC 1008,1000
309232,Fall 2021,COMM,1008,COMM 1008,1000
309232,Fall 2021,PSYC,1018,PSYC 1018,1000
309232,Spring 2022,PSYC,2018,PSYC 2018,2000
309232,Spring 2022,GEOL,1209,GEOL 1209,1000
309232,Spring 2022,PSYC,2030,PSYC 2030,2000
309232,Spring 2022,COMM,1008,COMM 1008,1000
309232,Spring 2022,GEOL,1209,GEOL 1209,1000
309232,Spring 2022,HIST,1228,HIST 1228,1000
309232,Fall 2021,ENGL,1109,ENGL 1109,1000
309232,Fall 2021,CSUB,1029,CSUB 1029,1000
309232,Fall 2021,PSYC,2020,PSYC 2020,2000
309232,Fall 2021,MUS,1019,MUS 1019,1000
309498,Fall 2021,KINE,1506,KINE 1506,1000
309498,Spring 2022,MUS,1039,MUS 1039,1000
309498,Fall 2021,COMM,1008,COMM 1008,1000
309498,Spring 2022,RS,1118,RS 1118,1000
309498,Spring 2022,PHIL,1019,PHIL 1019,1000
309498,Spring 2022,CRJU,1108,CRJU 1108,1000
309498,Spring 2022,PSYC,2018,PSYC 2018,2000
309498,Fall 2021,CSUB,1029,CSUB 1029,1000
309498,Fall 2021,GEOL,1009,GEOL 1009,1000
309498,Fall 2021,GEOL,1009,GEOL 1009,1000
309498,Fall 2021,ENGL,1109,ENGL 1109,1000
309692,Spring 2022,COMM,1008,COMM 1008,1000
309692,Spring 2022,PHIL,1019,PHIL 1019,1000
309692,Fall 2021,CSUB,1029,CSUB 1029,1000
309692,Spring 2022,ACCT,2200,ACCT 2200,2000
309692,Spring 2022,BA,1008,BA 1008,1000
309692,Spring 2022,ECON,2200,ECON 2200,2000
309692,Spring 2022,ECON,2200,ECON 2200,2000
309692,Fall 2021,MIS,2000,MIS 2000,2000
309692,Fall 2021,THTR,1109,THTR 1109,1000
309692,Fall 2021,ENGL,1109,ENGL 1109,1000
309692,Fall 2021,MATH,2200,MATH 2200,2000
309692,Fall 2021,ECON,2028,ECON 2028,2000
311523,Spring 2022,HIST,1218,HIST 1218,1000
311523,Spring 2022,PSYC,2030,PSYC 2030,2000
311523,Fall 2021,COMM,1008,COMM 1008,1000
311523,Spring 2022,ATHL,1483,ATHL 1483,1000
311523,Spring 2022,PSYC,2020,PSYC 2020,2000
311523,Spring 2022,PHYS,1609,PHYS 1609,1000
311523,Spring 2022,PHYS,1609,PHYS 1609,1000
311523,Spring 2022,HIST,1418,HIST 1418,1000
311523,Fall 2021,PHIL,1019,PHIL 1019,1000
311523,Fall 2021,ATHL,1483,ATHL 1483,1000
311523,Fall 2021,PSYC,2018,PSYC 2018,2000
311523,Fall 2021,MUS,1019,MUS 1019,1000
311523,Fall 2021,CSUB,1029,CSUB 1029,1000
311585,Spring 2022,PLSI,1018,PLSI 1018,1000
311585,Fall 2021,PSYC,1018,PSYC 1018,1000
311585,Spring 2022,PSYC,1018,PSYC 1018,1000
311585,Spring 2022,BIOL,1009,BIOL 1009,1000
311585,Spring 2022,PHIL,1019,PHIL 1019,1000
311585,Spring 2022,BIOL,1009,BIOL 1009,1000
311585,Spring 2022,ENGL,1208,ENGL 1208,1000
311585,Fall 2021,SOC,1018,SOC 1018,1000
311585,Fall 2021,BIOL,1039,BIOL 1039,1000
311585,Fall 2021,BIOL,1039,BIOL 1039,1000
311585,Fall 2021,ENGL,1109,ENGL 1109,1000
311585,Fall 2021,CSUB,1029,CSUB 1029,1000
311587,Spring 2022,THTR,2000,THTR 2000,2000
311587,Spring 2022,THTR,2410,THTR 2410,2000
311587,Spring 2022,THTR,2100,THTR 2100,2000
311587,Fall 2021,SOC,1018,SOC 1018,1000
311587,Spring 2022,THTR,1400,THTR 1400,1000
311587,Spring 2022,CHEM,1009,CHEM 1009,1000
311587,Spring 2022,HIST,1228,HIST 1228,1000
311587,Spring 2022,CHEM,1009,CHEM 1009,1000
311587,Spring 2022,MATH,1209,MATH 1209,1000
311587,Fall 2021,THTR,1008,THTR 1008,1000
311587,Fall 2021,ENGL,1109,ENGL 1109,1000
311587,Fall 2021,COMM,1008,COMM 1008,1000
311587,Fall 2021,CSUB,1029,CSUB 1029,1000
311877,Spring 2022,COMM,1008,COMM 1008,1000
311877,Spring 2022,PHIL,1019,PHIL 1019,1000
311877,Spring 2022,ART,1019,ART 1019,1000
311877,Spring 2022,ETHS,1208,ETHS 1208,1000
311877,Fall 2021,SOC,2208,SOC 2208,2000
